18/11/25 05:39:35 INFO client.RMProxy: Connecting to ResourceManager at master/172.16.1.1:8032
18/11/25 05:39:36 INFO input.FileInputFormat: Total input paths to process : 32
18/11/25 05:39:36 INFO mapreduce.JobSubmitter: number of splits:32
18/11/25 05:39:36 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1543099092534_0033
18/11/25 05:39:36 INFO impl.YarnClientImpl: Submitted application application_1543099092534_0033
18/11/25 05:39:36 INFO mapreduce.Job: The url to track the job: http://master:8088/proxy/application_1543099092534_0033/
18/11/25 05:39:36 INFO mapreduce.Job: Running job: job_1543099092534_0033
18/11/25 05:39:44 INFO mapreduce.Job: Job job_1543099092534_0033 running in uber mode : false
18/11/25 05:55:54 INFO mapreduce.Job:  map 100% reduce 50%
18/11/25 05:55:57 INFO mapreduce.Job:  map 100% reduce 52%
18/11/25 05:56:00 INFO mapreduce.Job:  map 100% reduce 54%
18/11/25 05:56:03 INFO mapreduce.Job:  map 100% reduce 55%
18/11/25 05:56:06 INFO mapreduce.Job:  map 100% reduce 57%
18/11/25 05:56:09 INFO mapreduce.Job:  map 100% reduce 59%
18/11/25 05:56:11 INFO mapreduce.Job:  map 100% reduce 60%
18/11/25 05:56:14 INFO mapreduce.Job:  map 100% reduce 62%
18/11/25 05:56:17 INFO mapreduce.Job:  map 100% reduce 64%
18/11/25 05:56:20 INFO mapreduce.Job:  map 100% reduce 65%
18/11/25 05:56:23 INFO mapreduce.Job:  map 100% reduce 67%
18/11/25 05:56:36 INFO mapreduce.Job:  map 100% reduce 68%
18/11/25 05:56:48 INFO mapreduce.Job:  map 100% reduce 69%
18/11/25 05:57:00 INFO mapreduce.Job:  map 100% reduce 70%
18/11/25 05:57:08 INFO mapreduce.Job:  map 100% reduce 71%
18/11/25 05:57:18 INFO mapreduce.Job:  map 100% reduce 72%
18/11/25 05:57:30 INFO mapreduce.Job:  map 100% reduce 73%
18/11/25 05:57:39 INFO mapreduce.Job:  map 100% reduce 74%
18/11/25 05:57:51 INFO mapreduce.Job:  map 100% reduce 75%
18/11/25 05:58:00 INFO mapreduce.Job:  map 100% reduce 76%
18/11/25 05:58:12 INFO mapreduce.Job:  map 100% reduce 77%
18/11/25 05:58:24 INFO mapreduce.Job:  map 100% reduce 78%
18/11/25 05:58:33 INFO mapreduce.Job:  map 100% reduce 79%
18/11/25 05:58:45 INFO mapreduce.Job:  map 100% reduce 80%
18/11/25 05:58:58 INFO mapreduce.Job:  map 100% reduce 81%
18/11/25 05:59:10 INFO mapreduce.Job:  map 100% reduce 82%
18/11/25 05:59:18 INFO mapreduce.Job:  map 100% reduce 83%
18/11/25 05:59:30 INFO mapreduce.Job:  map 100% reduce 84%
18/11/25 05:59:43 INFO mapreduce.Job:  map 100% reduce 85%
18/11/25 05:59:52 INFO mapreduce.Job:  map 100% reduce 86%
18/11/25 06:00:04 INFO mapreduce.Job:  map 100% reduce 87%
18/11/25 06:00:15 INFO mapreduce.Job:  map 100% reduce 88%
18/11/25 06:00:24 INFO mapreduce.Job:  map 100% reduce 89%
18/11/25 06:00:37 INFO mapreduce.Job:  map 100% reduce 90%
18/11/25 06:00:46 INFO mapreduce.Job:  map 100% reduce 91%
18/11/25 06:00:58 INFO mapreduce.Job:  map 100% reduce 92%
18/11/25 06:01:10 INFO mapreduce.Job:  map 100% reduce 93%
18/11/25 06:01:22 INFO mapreduce.Job:  map 100% reduce 94%
18/11/25 06:01:31 INFO mapreduce.Job:  map 100% reduce 95%
18/11/25 06:01:43 INFO mapreduce.Job:  map 100% reduce 96%
18/11/25 06:01:52 INFO mapreduce.Job:  map 100% reduce 97%
18/11/25 06:02:04 INFO mapreduce.Job:  map 100% reduce 98%
18/11/25 06:02:17 INFO mapreduce.Job:  map 100% reduce 99%
18/11/25 06:02:26 INFO mapreduce.Job:  map 100% reduce 100%
18/11/25 06:02:31 INFO mapreduce.Job: Job job_1543099092534_0033 completed successfully
18/11/25 06:02:31 INFO mapreduce.Job: Counters: 50
	File System Counters
		FILE: Number of bytes read=19128237600
		FILE: Number of bytes written=26036703184
		FILE: Number of read operations=0
